Date,Holiday name
38353,New year
38439,Easter Monday
38473,Labour Day
38477,Ascension Thursday
38480,Victory in Europe Day
38488,Whit Monday
38547,Bastille Day
38579,Assumption of Mary to Heaven
38657,All Saints Day
38667,Armistice Day
38711,Christmas Day
38718,New year
38824,Easter Monday
38838,Labour Day
38845,Victory in Europe Day
38862,Ascension Thursday
38873,Whit Monday
38912,Bastille Day
38944,Assumption of Mary to Heaven
39022,All Saints Day
39032,Armistice Day
39076,Christmas Day
39083,New year
39181,Easter Monday
39203,Labour Day
39210,Victory in Europe Day
39219,Ascension Thursday
39230,Whit Monday
39277,Bastille Day
39309,Assumption of Mary to Heaven
39387,All Saints Day
39397,Armistice Day
39441,Christmas Day
39448,New year
39531,Easter Monday
39569,Ascension Thursday
39569,Labour Day
39576,Victory in Europe Day
39580,Whit Monday
39643,Bastille Day
39675,Assumption of Mary to Heaven
39753,All Saints Day
39763,Armistice Day
39807,Christmas Day
39814,New year
39916,Easter Monday
39934,Labour Day
39941,Victory in Europe Day
39954,Ascension Thursday
39965,Whit Monday
40008,Bastille Day
40040,Assumption of Mary to Heaven
40118,All Saints Day
40128,Armistice Day
40172,Christmas Day
40179,New year
40273,Easter Monday
40299,Labour Day
40306,Victory in Europe Day
40311,Ascension Thursday
40322,Whit Monday
40373,Bastille Day
40405,Assumption of Mary to Heaven
40483,All Saints Day
40493,Armistice Day
40537,Christmas Day
40544,New year
40658,Easter Monday
40664,Labour Day
40671,Victory in Europe Day
40696,Ascension Thursday
40707,Whit Monday
40738,Bastille Day
40770,Assumption of Mary to Heaven
40848,All Saints Day
40858,Armistice Day
40902,Christmas Day
40909,New year
41008,Easter Monday
41030,Labour Day
41037,Victory in Europe Day
41046,Ascension Thursday
41057,Whit Monday
41104,Bastille Day
41136,Assumption of Mary to Heaven
41214,All Saints Day
41224,Armistice Day
41268,Christmas Day
41275,New year
41365,Easter Monday
41395,Labour Day
41402,Victory in Europe Day
41403,Ascension Thursday
41414,Whit Monday
41469,Bastille Day
41501,Assumption of Mary to Heaven
41579,All Saints Day
41589,Armistice Day
41633,Christmas Day
41640,New year
41750,Easter Monday
41760,Labour Day
41767,Victory in Europe Day
41788,Ascension Thursday
41799,Whit Monday
41834,Bastille Day
41866,Assumption of Mary to Heaven
41944,All Saints Day
41954,Armistice Day
41998,Christmas Day
42005,New year
42100,Easter Monday
42125,Labour Day
42132,Victory in Europe Day
42138,Ascension Thursday
42149,Whit Monday
42199,Bastille Day
42231,Assumption of Mary to Heaven
42309,All Saints Day
42319,Armistice Day
42363,Christmas Day
42370,New year
42457,Easter Monday
42491,Labour Day
42495,Ascension Thursday
42498,Victory in Europe Day
42506,Whit Monday
42565,Bastille Day
42597,Assumption of Mary to Heaven
42675,All Saints Day
42685,Armistice Day
42729,Christmas Day
